0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,249 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,249 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,249 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 576910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,249 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,250 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,251 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 576910 - Failed to decode the audio samples.
0x7fdb4ddd0000 | Main                 | INFO  | 2026-02-20 22:33:38,185 | Application state changed to Inactive
0x7fdb4ddd0000 | SyManager.ProjectManager | INFO  | 2026-02-20 22:33:38,486 | Start saving project Untitled Project 4
0x7fdb4ddd0000 | SyManager.ProjectManager | INFO  | 2026-02-20 22:33:38,505 | Saving project took 19 ms
0x7fdb4ddd0000 | Main                 | INFO  | 2026-02-20 22:33:38,616 | Application state changed to Active
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 0 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 0 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 0 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 0 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 0 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 0 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 0 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 0 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 0 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 0 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,255 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 0 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 0 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,256 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,257 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,257 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,257 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,258 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,258 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,258 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,258 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,258 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,259 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,259 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,259 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,259 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 468000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,261 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,261 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,262 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468000 - Failed to decode the audio samples.
