{ 08 80 45 3A 61 34 00 00 00 00 1C 04 }, Delta:5.114ms, Position:[14917,13409], Pressure:0, PenButtons:[False False False], Tilt:[28,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 38 3A 3F 34 00 00 00 00 1C 04 }, Delta:0.181ms, Position:[14904,13375], Pressure:0, PenButtons:[False False False], Tilt:[28,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 27 3A 12 34 00 00 00 00 1C 04 }, Delta:6.634ms, Position:[14887,13330], Pressure:0, PenButtons:[False False False], Tilt:[28,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 14 3A DD 33 00 00 00 00 1D 04 }, Delta:0.102ms, Position:[14868,13277], Pressure:0, PenButtons:[False False False], Tilt:[29,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 01 3A A2 33 00 00 00 00 1D 04 }, Delta:2.311ms, Position:[14849,13218], Pressure:0, PenButtons:[False False False], Tilt:[29,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 EF 39 64 33 00 00 00 00 1D 04 }, Delta:0.602ms, Position:[14831,13156], Pressure:0, PenButtons:[False False False], Tilt:[29,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 DE 39 23 33 00 00 00 00 1D 04 }, Delta:9.548ms, Position:[14814,13091], Pressure:0, PenButtons:[False False False], Tilt:[29,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 D0 39 E2 32 00 00 00 00 1E 04 }, Delta:0.153ms, Position:[14800,13026], Pressure:0, PenButtons:[False False False], Tilt:[30,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C5 39 A1 32 00 00 00 00 1E 04 }, Delta:0.105ms, Position:[14789,12961], Pressure:0, PenButtons:[False False False], Tilt:[30,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 BC 39 62 32 00 00 00 00 1E 05 }, Delta:1.919ms, Position:[14780,12898], Pressure:0, PenButtons:[False False False], Tilt:[30,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 B7 39 26 32 00 00 00 00 1E 05 }, Delta:2.612ms, Position:[14775,12838], Pressure:0, PenButtons:[False False False], Tilt:[30,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 B5 39 ED 31 00 00 00 00 1F 05 }, Delta:7.268ms, Position:[14773,12781], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 B6 39 B8 31 00 00 00 00 1F 05 }, Delta:0.136ms, Position:[14774,12728], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 BA 39 87 31 00 00 00 00 1F 05 }, Delta:0.233ms, Position:[14778,12679], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C0 39 5A 31 00 00 00 00 1F 05 }, Delta:2.286ms, Position:[14784,12634], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C9 39 32 31 00 00 00 00 1F 05 }, Delta:2.166ms, Position:[14793,12594], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 D4 39 0F 31 00 00 00 00 1F 05 }, Delta:6.814ms, Position:[14804,12559], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 E1 39 F2 30 00 00 00 00 1F 05 }, Delta:0.144ms, Position:[14817,12530], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 F0 39 DA 30 00 00 00 00 1F 05 }, Delta:5.601ms, Position:[14832,12506], Pressure:0, PenButtons:[False False False], Tilt:[31,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 01 3A C7 30 00 00 00 00 20 05 }, Delta:0.131ms, Position:[14849,12487], Pressure:0, PenButtons:[False False False], Tilt:[32,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 14 3A BA 30 00 00 00 00 20 05 }, Delta:7.529ms, Position:[14868,12474], Pressure:0, PenButtons:[False False False], Tilt:[32,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 28 3A B2 30 00 00 00 00 20 05 }, Delta:0.151ms, Position:[14888,12466], Pressure:0, PenButtons:[False False False], Tilt:[32,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
