0x7fa3b349a000 | DbCommon2            | INFO  | 2026-06-19 20:28:37,768 | Loading dblist file: /home/avery/.local/share/DaVinciResolve/configs/.dblist
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:37,815 | Finished loading Application style sheet
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:37,859 | Show splash screen
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:37,859 | Show splash screen message: Starting Up
0x7fa54547c000 | UI.GLContext         | INFO  | 2026-06-19 20:28:38,234 | Creating shared OpenGL context for this thread (1 total).
0x7fa54547c000 | UI.GLContext         | INFO  | 2026-06-19 20:28:38,237 | Initialized OpenGL 4.6 (requested 4.5) on device 'AMD AMD Radeon 760M Graphics (radeonsi, phoenix, ACO, DRM 3.64, 7.0.12-zen1-1-zen)'
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:38,237 | Show splash screen message: Checking Licenses
sh: line 1: python2: command not found
0x7fa394488000 | Main                 | INFO  | 2026-06-19 20:28:38,411 | Started listener socket at port 15000
libScannerAPI.so: cannot open shared object file: No such file or directory
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:38,535 | Application state changed to Active
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:38,536 | Local SysId:F4289D19238D Hostname:avery-framework Timezone:LMT UTC-0700
0x7fa54547c000 | LeManager            | INFO  | 2026-06-19 20:28:38,745 | R_V:16.0.3.0
0x7fa54547c000 | LeManager            | ERROR | 2026-06-19 20:28:38,759 | 22, 319
0x7fa3959ff000 | Fusion               | INFO  | 2026-06-19 20:28:39,979 | 429 templates scanned in 0.36 secs
Unable to read VR Path Registry from /home/avery/.config/openvr/openvrpaths.vrpath
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:45,192 | Application state changed to Inactive
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:45,216 | Application state changed to Active
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:50,848 | Close splash screen
0x7fa54547c000 | SyManager.Signals    | INFO  | 2026-06-19 20:28:51,572 | Fusion templates changed
